Date : 2025-03-21 10:38:53
Directory : /home/whx/文档/code/github/lightNovel
Total : 174 files,  18673 codes, 1906 comments, 2123 blanks, all 22702 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| Dart             |         75 |      6,516 |        886 |        851 |      8,253 |
| Go               |         21 |      5,362 |        710 |        650 |      6,722 |
| JSON             |         12 |      2,367 |          0 |          4 |      2,371 |
| YAML             |          4 |      1,422 |         27 |         25 |      1,474 |
| Markdown         |          5 |        676 |          0 |        152 |        828 |
| C++              |         16 |        540 |        131 |        189 |        860 |
| XML              |         10 |        471 |         53 |         12 |        536 |
| CMake            |          8 |        461 |          0 |         92 |        553 |
| Python           |          5 |        353 |         39 |         83 |        475 |
| Go Checksum File |          1 |        238 |          0 |          1 |        239 |
| Go Module File   |          1 |         75 |          1 |          5 |         81 |
| Kotlinscript     |          3 |         71 |          6 |         16 |         93 |
| Swift            |          6 |         53 |          7 |         21 |         81 |
| Shell Script     |          1 |         29 |         31 |         12 |         72 |
| HTML             |          1 |         19 |         15 |          5 |         39 |
| Properties       |          3 |         11 |          0 |          2 |         13 |
| pip requirements |          1 |          6 |          0 |          0 |          6 |
| Kotlin           |          1 |          3 |          0 |          3 |          6 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                   | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                      |        174 |     18,673 |      1,906 |      2,123 |     22,702 |
| . (Files)                                                                                                              |          1 |          2 |          0 |          1 |          3 |
| client                                                                                                                 |        129 |      8,438 |      1,125 |      1,217 |     10,780 |
| client (Files)                                                                                                         |          2 |         45 |         27 |         20 |         92 |
| client/android                                                                                                         |         13 |        149 |         57 |         30 |        236 |
| client/android (Files)                                                                                                 |          3 |         42 |          0 |         10 |         52 |
| client/android/app                                                                                                     |          9 |        102 |         57 |         19 |        178 |
| client/android/app (Files)                                                                                             |          1 |         32 |          6 |          7 |         45 |
| client/android/app/src                                                                                                 |          8 |         70 |         51 |         12 |        133 |
| client/android/app/src/debug                                                                                           |          1 |          3 |          4 |          1 |          8 |
| client/android/app/src/main                                                                                            |          6 |         64 |         43 |         10 |        117 |
| client/android/app/src/main (Files)                                                                                    |          1 |         35 |         11 |          1 |         47 |
| client/android/app/src/main/kotlin                                                                                     |          1 |          3 |          0 |          3 |          6 |
| client/android/app/src/main/kotlin/com                                                                                 |          1 |          3 |          0 |          3 |          6 |
| client/android/app/src/main/kotlin/com/example                                                                         |          1 |          3 |          0 |          3 |          6 |
| client/android/app/src/main/kotlin/com/example/client                                                                  |          1 |          3 |          0 |          3 |          6 |
| client/android/app/src/main/res                                                                                        |          4 |         26 |         32 |          6 |         64 |
| client/android/app/src/main/res/drawable                                                                               |          1 |          4 |          7 |          2 |         13 |
| client/android/app/src/main/res/drawable-v21                                                                           |          1 |          4 |          7 |          2 |         13 |
| client/android/app/src/main/res/values                                                                                 |          1 |          9 |          9 |          1 |         19 |
| client/android/app/src/main/res/values-night                                                                           |          1 |          9 |          9 |          1 |         19 |
| client/android/app/src/profile                                                                                         |          1 |          3 |          4 |          1 |          8 |
| client/android/gradle                                                                                                  |          1 |          5 |          0 |          1 |          6 |
| client/android/gradle/wrapper                                                                                          |          1 |          5 |          0 |          1 |          6 |
| client/ios                                                                                                             |          8 |        229 |          4 |         13 |        246 |
| client/ios/Runner                                                                                                      |          7 |        222 |          2 |          9 |        233 |
| client/ios/Runner (Files)                                                                                              |          2 |         13 |          0 |          3 |         16 |
| client/ios/Runner/Assets.xcassets                                                                                      |          3 |        148 |          0 |          4 |        152 |
| client/ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                   |          1 |        122 |          0 |          1 |        123 |
| client/ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                 |          2 |         26 |          0 |          3 |         29 |
| client/ios/Runner/Base.lproj                                                                                           |          2 |         61 |          2 |          2 |         65 |
| client/ios/RunnerTests                                                                                                 |          1 |          7 |          2 |          4 |         13 |
| client/lib                                                                                                             |         75 |      6,516 |        886 |        851 |      8,253 |
| client/lib (Files)                                                                                                     |          1 |         21 |          9 |          6 |         36 |
| client/lib/config                                                                                                      |          1 |         50 |         20 |         14 |         84 |
| client/lib/core                                                                                                        |         58 |      5,086 |        701 |        697 |      6,484 |
| client/lib/core (Files)                                                                                                |          1 |        105 |          9 |          9 |        123 |
| client/lib/core/api                                                                                                    |          1 |        683 |         36 |         83 |        802 |
| client/lib/core/models                                                                                                 |         36 |      3,741 |        474 |        457 |      4,672 |
| client/lib/core/providers                                                                                              |         14 |        286 |        119 |         95 |        500 |
| client/lib/core/services                                                                                               |          4 |        189 |         45 |         39 |        273 |
| client/lib/core/theme                                                                                                  |          2 |         82 |         18 |         14 |        114 |
| client/lib/features                                                                                                    |         10 |        972 |        105 |         78 |      1,155 |
| client/lib/features/bookshelf                                                                                          |          1 |         13 |          9 |          4 |         26 |
| client/lib/features/bookshelf/pages                                                                                    |          1 |         13 |          9 |          4 |         26 |
| client/lib/features/history                                                                                            |          1 |         13 |          7 |          3 |         23 |
| client/lib/features/history/pages                                                                                      |          1 |         13 |          7 |          3 |         23 |
| client/lib/features/home                                                                                               |          5 |        491 |         51 |         34 |        576 |
| client/lib/features/home/pages                                                                                         |          1 |        135 |         14 |          6 |        155 |
| client/lib/features/home/widgets                                                                                       |          4 |        356 |         37 |         28 |        421 |
| client/lib/features/main                                                                                               |          1 |         53 |          9 |          7 |         69 |
| client/lib/features/main/pages                                                                                         |          1 |         53 |          9 |          7 |         69 |
| client/lib/features/novel                                                                                              |          1 |        339 |         18 |         25 |        382 |
| client/lib/features/novel/pages                                                                                        |          1 |        339 |         18 |         25 |        382 |
| client/lib/features/settings                                                                                           |          1 |         63 |         11 |          5 |         79 |
| client/lib/features/settings/pages                                                                                     |          1 |         63 |         11 |          5 |         79 |
| client/lib/shared                                                                                                      |          5 |        387 |         51 |         56 |        494 |
| client/lib/shared/props                                                                                                |          2 |        135 |         20 |         20 |        175 |
| client/lib/shared/widgets                                                                                              |          3 |        252 |         31 |         36 |        319 |
| client/linux                                                                                                           |          9 |        325 |         37 |         92 |        454 |
| client/linux (Files)                                                                                                   |          1 |        104 |          0 |         25 |        129 |
| client/linux/flutter                                                                                                   |          4 |        105 |          9 |         27 |        141 |
| client/linux/runner                                                                                                    |          4 |        116 |         28 |         40 |        184 |
| client/macos                                                                                                           |          6 |        445 |          5 |         17 |        467 |
| client/macos/Flutter                                                                                                   |          1 |          4 |          3 |          4 |         11 |
| client/macos/Runner                                                                                                    |          4 |        434 |          0 |          9 |        443 |
| client/macos/Runner (Files)                                                                                            |          2 |         23 |          0 |          7 |         30 |
